english	spanish	accepted_es	accepted_en	split
this should be easy	esto debería ser fácil	esto debería ser fácil	this should be easy	test
i can not	no puedo	no puedo	i can not|i cant	test
ive seen that	lo he visto	he visto eso|lo he visto	ive seen it|ive seen that	test
it is a secret	es un secreto	es un secreto	it is a secret|its a secret	test
im italian	yo soy italiano	soy italiano|yo soy italiano	i am italian|im italian	test
tom died of cancer	tomás murió de cáncer	tomás murió de cáncer	tom died of cancer	test
hello said tom smiling	hola dijo tom sonriendo	hola dijo tom sonriendo	hello said tom smiling	test
she loves him	ella lo ama	a ella le gusta|ella le quiere|ella lo ama|ella lo quiere	she loves him	test
tom was better	tom estaba mejor	tom estaba mejor	tom was better	test
is it here ?	¿ aquí ?	¿ aquí ?|¿ es acá ?|¿ está aquí ?	is it here ?	test
we saw nothing	no hemos visto nada	no hemos visto nada	we saw nothing|weve seen nothing	test
is this it ?	¿ es este ?	¿ es este ?	is this it ?	test
hell be busy tomorrow	él estará ocupado mañana	él estará ocupado mañana	hell be busy tomorrow	test
she doesnt have anybody	no tiene a nadie	no tiene a nadie	he doesnt have anybody|she doesnt have anybody	test
now lets go	ahora vámonos	ahora vámonos	lets go now|now lets go	test
the teacher teaches	el maestro enseña	el maestro enseña	the teacher teaches	test
hello im mike	hola soy mike	hola soy mike	hello im mike|hello this is mike|hey im mike	test
theres nobody here	no hay nadie acá	no hay nadie acá	theres nobody here	test
they came in	llegaron	llegaron	they came in	test
tom helped	tom ayudó	tom ayudó	tom helped	test
tom looks strong	tom parece fuerte	tom parece fuerte	tom looks strong	test
thats difficult to explain	es difícil de explicar	es difícil de explicar	its hard to explain|thats difficult to explain	test
i feel important	me siento importante	me siento importante	i feel important	test
its ok	está bien	está bien	hes all right|its good|its ok|its okay|its right|thats fine|thats nice	test
theyre gone	se fueron	se fueron	they left|theyre gone	test
he can play tennis	él sabe jugar tenis	él sabe jugar tenis	he can play tennis	test
today is extremely hot	hoy hace muchísimo calor	hoy hace muchísimo calor	today is extremely hot	test
you know me	me conoces	me conoces|tú me conoces|ya me conoces	you know me	test
i have blue eyes	tengo ojos azules	tengo ojos azules	i have blue eyes	test
let tom finish	deja terminar a tom	deja terminar a tom	let tom finish	test
yes i did it	sí lo he hecho	sí lo he hecho|sí lo hice	yes i did it	test
i love this language	yo adoro esta lengua	yo adoro esta lengua	i love this language	test
i am hot	tengo calor	tengo calor	i am hot|im hot	test
i wanted that car	quise ese carro	quise ese carro	i wanted that car	test
you are beautiful	eres guapa	eres guapa	you are beautiful|youre beautiful|youre pretty	test
its very boring	es muy aburrido	es muy aburrido	its very boring	test
hes still at work	él todavía está trabajando	él todavía está trabajando	hes still at work	test
they have the horse	ellos tienen el caballo	ellos tienen el caballo	they have the horse	test
it went well	salió bien	salió bien	it went well	test
i felt cheated	me sentí engañado	me sentí engañado	i felt cheated	test
tom needs rest now	tom necesita descansar ahora	tom necesita descansar ahora	tom needs rest now	test
everyone talks about her	todos hablan de ella	todos hablan de ella	everyone talks about her	test
just hang on	sólo espera	sólo espera	just hang on|just hold on	test
he teaches english	él enseña inglés	él enseña inglés	he teaches english	test
bring tom with you	trae a tom contigo	trae a tom contigo	bring tom with you	test
he is reading	está leyendo	está leyendo|él está leyendo	he is reading|hes reading	test
show me that	muéstrame eso	muéstrame eso	show me that	test
he is human	él es humano	él es humano	he is human	test
were out of tea	no nos queda té	no nos queda té	were out of tea	test
better than nothing	es mejor que nada	es mejor que nada	better than nothing|its better than nothing	test
the food is cold	la comida está fría	la comida está fría	the food is cold	test
she runs	ella corre	ella corre	she runs	test
well fight	vamos a luchar	vamos a luchar	we will fight|well fight|were going to fight	test
be serious	sé serio	sé serio	be serious	test
she knows nothing	no sabe nada	no sabe nada	he knows nothing|she knows nothing	test
tom cant wait	tom no puede esperar	tom no puede esperar	tom cant wait	test
you work with mary	trabajas con maría	trabajas con maría	you work with mary	test
come again	vuelve otra vez	vuelve otra vez	come again	test
i hate being single	odio estar soltera	odio estar soltera|odio estar soltero	i hate being single	test
he still loves her	él todavía la ama	él todavía la ama	he still loves her	test
my house is here	mi casa está aquí	mi casa está aquí	my house is here	test
dont touch my camera	no toques mi cámara	no toques mi cámara	dont touch my camera	test
good luck tom	buena suerte tom	buena suerte tom	good luck tom	test
ill dream with you	voy a soñar contigo	voy a soñar contigo	ill dream with you	test
it cant be helped	no queda otra	no queda otra	it cannot be helped|it cant be helped|there is no choice	test
theres a book here	hay un libro aquí	aquí hay un libro|hay un libro aquí	theres a book here	test
let me back in	déjame entrar	déjame entrar|déjame entrar otra vez	let me back in|let me come in|let me in	test
tom was inside	tom estaba adentro	tom estaba adentro	tom was inside	test
thanks for calling	gracias por llamar	gracias por llamar	thank you for calling|thanks for calling	test
this is very cheap	esto es muy barato	esto es muy barato	this is very cheap	test
someones outside	hay alguien afuera	hay alguien afuera	someones outside|theres someone outside	test
dont make noise	no hagas ruido	no hagas ruido	dont make noise	test
are you lying ?	¿ estás mintiendo ?	¿ estás mintiendo ?	are you lying ?	test
shes a beauty	ella es una belleza	ella es una belleza	she is a beauty|shes a beauty	test
he knows nothing	no sabe nada	no sabe nada	he knows nothing|she knows nothing	test
you are my friend	eres mi amigo	eres mi amiga|eres mi amigo|sos mi amiga|tú eres mi amiga|tú eres mi amigo	you are my friend|youre my friend	test
tom is bad	tom es malo	tom es malo	tom is bad|toms mean	test
i think im pregnant	creo que estoy embarazada	creo que estoy embarazada	i think im pregnant	test
i told him nothing	no le dije nada	no le dije nada	i told her nothing|i told him nothing	test
its fine	está perfecto	está perfecto	its fine|its perfect	test
its very late	es muy tarde	es muy tarde	its too late|its very late	test
thats pretty bad	eso es bastante malo	eso es bastante malo	thats pretty bad	test
bob doesnt exist	bob no existe	bob no existe	bob doesnt exist	test
i doubt those things	dudo de esas cosas	dudo de esas cosas	i doubt those things	test
this is easy	esto es sencillo	esto es fácil|esto es sencillo	this is easy|this is simple	test
write to tom	escribe a tom	escribe a tom	write to tom|write tom	test
i am okay	estoy bien	estoy bien	i am good|i am okay|i am well|im cool|im doing fine|im doing okay|im doing well|im fine|im ok|im okay|im well	test
he abandoned the idea	él abandonó la idea	él abandonó la idea	he abandoned the idea	test
this is so sad	es tan triste	es tan triste	this is so sad	test
tom felt tired	tom se sentía cansado	tom se sentía cansado	tom felt tired	test
this could be interesting	esto puede ser interesante	esto puede ser interesante	this could be interesting	test
i need this job	necesito ese empleo	necesito ese empleo	i need this job	test
i know tom understands	sé que tom entiende	sé que tom entiende	i know tom understands	test
i have no family	no tengo familia	no tengo familia	i have no family	test
i am that	soy eso	soy eso	i am that	test
its all white	es todo blanco	es todo blanco	its all white	test
i want them alive	los quiero vivos	los quiero vivos	i want them alive	test
its not clean	no está limpio	no está limpia|no está limpio	its not clean	test
very !	¡ mucho !	¡ mucho !	very !	test
ill go without you	iré sin ti	iré sin ti	ill go without you	test
i went on reading	seguí leyendo	seguí leyendo	i went on reading	test
i was not drunk	yo no estaba borracho	no estaba borracho|yo no estaba borracho	i was not drunk	test
tom teaches us french	tom nos enseña francés	tom nos enseña francés	tom teaches us french	test
she wants to speak	quiere hablar	quiere hablar	she wants to speak	test
im your lawyer	soy tu abogado	soy tu abogado	im your lawyer	test
i hope so	eso espero	eso espero|espero que sí	i do hope so|i hope so	test
my shoes are brown	mis zapatos son marrones	mis zapatos son marrones	my shoes are brown	test
they want to leave	quieren irse	quieren irse	they want to leave	test
maybe its too late	quizás sea demasiado tarde	quizás sea demasiado tarde	maybe its too late	test
i did all right	lo hice bien	lo hice bien	i did all right|i did ok|ive done ok	test
theyre not coming back	no van a volver	no van a volver	they wont come back|theyre not coming back	test
i like running	me gusta correr	me gusta correr	i like running|i like to run	test
were always learning	siempre estamos aprendiendo	siempre estamos aprendiendo	were always learning	test
this is very strange	esto es muy extraño	esto es muy extraño	this is very strange	test
youre too drunk	sos demasiado borracho	sos demasiado borracho	youre too drunk	test
he can read well	él sabe leer bien	él sabe leer bien	he can read well	test
you all right ?	¿ estás bien ?	¿ estás bien ?	are you ok ?|are you okay ?|are you well ?|you all right ?	test
we helped tom	nosotros ayudamos a tom	ayudamos a tom|nosotros ayudamos a tom	we help tom|we helped tom	test
were trying	lo estamos intentando	lo estamos intentando	were trying	test
nobody is speaking	nadie está hablando	nadie está hablando|no está hablando nadie	nobody is speaking	test
let me go	¡ déjeme ir !	¡ déjeme ir !	let me go|let me go !	test
it was really sweet	fue muy agradable	fue muy agradable	it was really sweet	test
